School,MeasureID,Metric,Value,Period,Type,ValidationStatus,Source,Note
Public Museum High,3.1,Chronic Absence,30%,2025-26 CNA,ENDS-aligned evidence,Validated — direct source,Museum High CNA Workbook,Directly stated as 30% moderate/severe chronic absence.
Innovation Central High,3.1,Chronic Absence Change,↓ 12%,2025-26 current,Context — no exact rate supplied,Validated — direct source,Innovation Central CNA Workbook,Directly stated as a 12% decrease so far this school year; not an exact chronic-absence rate.
Aberdeen Academy,3.1,Chronically Absent Scholars,37,2025-26 CNA,"Context — count, not rate",Validated — direct source,Aberdeen CNA Workbook,"Directly stated as 37 scholars chronic; count only, not rate."
Southwest Community Campus Middle/High,2.2,NWEA Reading CGP — Grades 7-8,52.8,2024-25,ENDS-aligned grade-band evidence,Validated — direct source,SWMH-AB CNA Workbook,Directly stated building average CGP 52.8.
Southwest Community Campus Middle/High,2.2,NWEA Reading CGP — Grades 9-10,54.7,2024-25,Context — high school grade band,Validated — direct source,SWMH-AB CNA Workbook,Directly stated building average CGP 54.7.
Southwest Community Campus Middle/High,1.2a,Graduation,100%,CNA strength statement,Context — year not specified,Validated — source-stated context,SWMH-AB CNA Workbook,Source states 100% graduation rate but does not specify the cohort year; do not treat as a formal ENDS KPI.
Grand Rapids Montessori Middle/High,3.1,Chronic Absence,53%,2024-25,ENDS-aligned evidence,Validated — calculated from source components,GRM Middle High CNA Workbook,21% severe + 32% moderate = 53%; calculation is transparent.
Grand Rapids Montessori Middle/High,3.2,Suspension Change,+1.1%,vs. 2023-24,Context — change only,Validated — direct source,GRM Middle High CNA Workbook,Directly stated as up 1.1%; exact suspension rate is not supplied.
Grand Rapids Montessori Middle/High,3.1,Severe Chronic Absence,21%,2024-25,Attendance component,Validated — direct source,GRM Middle High CNA Workbook,Directly stated as 21%.
Grand Rapids Montessori Middle/High,3.1,Moderate Chronic Absence,32%,2024-25,Attendance component,Validated — direct source,GRM Middle High CNA Workbook,Directly stated as 32%.
Ridgemoor Park Montessori,3.1,Chronic Absence,20%,2025-26 CNA,ENDS-aligned building result,Validated — direct source,Ridgemoor Park Montessori CNA Workbook,Directly stated as moderate + severe chronic absence.
Ridgemoor Park Montessori,2.4,Grade 3 M-STEP Proficiency,44%,Spring 2025,ENDS-adjacent grade-level result,Validated — direct source,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Direct school all-student Grade 3 result.
Ridgemoor Park Montessori,2.4,Grade 3 M-STEP Proficiency,42%,Spring 2024,Historical grade-level result,Validated — direct source,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Direct school all-student Grade 3 result.
Ridgemoor Park Montessori,2.4,Grade 3 M-STEP — Female,60%,Spring 2025,Subgroup context,Validated — direct source,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Direct subgroup result; denominator retained.
Ridgemoor Park Montessori,2.4,Grade 3 M-STEP — Male,20%,Spring 2025,Subgroup context,Validated — direct source,M-STEP Passing by Subgroup Spring 2024 and Spring 2025,Direct subgroup result; denominator retained.
Public Museum Middle,3.1,Chronic Absence,32.9%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,54 of 164 scholars chronically absent.
Public Museum Middle,3.1,Chronic Absence,43.1%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,72 of 167 scholars chronically absent.
Public Museum High,3.1,Chronic Absence,46.5%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,125 of 269 scholars chronically absent.
Public Museum High,3.1,Chronic Absence,44.7%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,109 of 244 scholars chronically absent.
University Preparatory Academy,3.1,Chronic Absence,41.7%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,193 of 463 scholars chronically absent.
University Preparatory Academy,3.1,Chronic Absence,41.9%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,199 of 475 scholars chronically absent.
Innovation Central High,3.1,Chronic Absence,72.9%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,296 of 406 scholars chronically absent.
Innovation Central High,3.1,Chronic Absence,70.9%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,266 of 375 scholars chronically absent.
Aberdeen Academy,3.1,Chronic Absence,28.4%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,63 of 222 scholars chronically absent.
Aberdeen Academy,3.1,Chronic Absence,35.5%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,99 of 279 scholars chronically absent.
Ottawa Hills Middle School,3.1,Chronic Absence,79.4%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,282 of 355 scholars chronically absent.
Ottawa Hills Middle School,3.1,Chronic Absence,69.4%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,204 of 294 scholars chronically absent.
Campus Elementary,3.1,Chronic Absence,65.0%,2024,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,158 of 243 scholars chronically absent.
Campus Elementary,3.1,Chronic Absence,62.3%,2025,ENDS-aligned building result,Validated — source summary table,24-25 Attendance Comparison.xlsx,162 of 260 scholars chronically absent.
