School,MeasureID,Year,Value,Population,ChronicAbsent,Source,ValidationStatus,Note
Public Museum Middle,3.1,2024,32.9%,164,54,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Public Museum Middle,3.1,2025,43.1%,167,72,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Public Museum High,3.1,2024,46.5%,269,125,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Public Museum High,3.1,2025,44.7%,244,109,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
University Preparatory Academy,3.1,2024,41.7%,463,193,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
University Preparatory Academy,3.1,2025,41.9%,475,199,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Innovation Central High,3.1,2024,72.9%,406,296,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Innovation Central High,3.1,2025,70.9%,375,266,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Aberdeen Academy,3.1,2024,28.4%,222,63,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Aberdeen Academy,3.1,2025,35.5%,279,99,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ottawa Hills Middle School,3.1,2024,79.4%,355,282,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
Ottawa Hills Middle School,3.1,2025,69.4%,294,204,24-25 Attendance Comparison.xlsx,Validated — source summary table,School chronic absence rate from GRPS attendance comparison summary.
