School,MeasureID,Year,Category,Subgroup,N,ChronicAbsent,Value,Source,ValidationStatus,Note
Southwest Community Campus Elementary,3.1,2024,Gender,Female,331,65,19.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Race,Hispanic,549,113,20.6%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,FRL,Not FRL Eligible,357,50,14.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,English Learner,Not English Learner,290,68,23.4%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Southwest Community Campus Elementary,3.1,2024,Special Education,Not Special Education,553,105,19.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,Gender,Female,24,2,8.3%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,Race,White,51,3,5.9%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,FRL,Not FRL Eligible,50,3,6.0%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,English Learner,Not English Learner,59,5,8.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
Blandford School,3.1,2024,Special Education,Not Special Education,59,5,8.5%,24-25 Attendance Comparison.xlsx — 2023-24 student-level attendance extract,Validated — aggregated from source; n<10 suppressed,Building subgroup chronic absence; moderate + severe chronic categories.
