Year,Scope,Subgroup,Value,Source,Note
2025,District,Male,51%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Female,49%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,African American,30%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Asian,1%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Hispanic,39%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Two or More,7%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,White,22%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,FRL Eligible,70%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,English Learner,27%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Special Education,15%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
2025,District,Homeless,4%,GRPS 2025-26 CNA,2024-25 districtwide enrollment
