MeasureID,Year,Subgroup,Value,Validation,Caveat
3.3b,2025,Grades 3-5,55%,Validated against GRPS 2025-26 CNA,GRPS CNA Panorama Survey Spring 2025: Sense of Belonging favorable responses.
3.3b,2025,Grades 6-8,45%,Validated against GRPS 2025-26 CNA,GRPS CNA Panorama Survey Spring 2025: Sense of Belonging favorable responses.
3.3b,2025,Grades 9-12,41%,Validated against GRPS 2025-26 CNA,GRPS CNA Panorama Survey Spring 2025: Sense of Belonging favorable responses.
1.2a,2022,Male,75%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,Female,86%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,African American,81%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,American Indian,60%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,Asian,95%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,Hispanic,82%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,Two or More,63%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,White,83%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,FRL Eligible,80%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,English Learner,76%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2022,Special Education,54%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Male,79%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Female,86%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,African American,81%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,American Indian,95%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Asian,95%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Hispanic,85%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Two or More,62%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,White,82%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,FRL Eligible,82%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,English Learner,85%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2023,Special Education,47%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Male,76%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Female,90%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,African American,81%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,American Indian,50%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Asian,95%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Hispanic,83%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Two or More,78%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,White,86%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,FRL Eligible,82%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,English Learner,82%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
1.2a,2024,Special Education,45%,Validated against GRPS 2025-26 CNA,GRPS CNA subgroup four-year graduation rate; rounded to whole percentage points.
2.6,2023,Male,21%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,Female,20%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,African American,8%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,Asian,83%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,Hispanic,17%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,Two or More,17%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,White,53%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,FRL Eligible,14%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,English Learner,3%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2023,Special Education,14%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Male,15%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Female,18%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,African American,7%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Asian,54%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Hispanic,9%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Two or More,10%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,White,41%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,FRL Eligible,10%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,English Learner,2%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2024,Special Education,6%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Male,22%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Female,24%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,African American,6%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Asian,56%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Hispanic,11%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Two or More,28%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,White,53%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,FRL Eligible,13%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,English Learner,3%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.6,2025,Special Education,6%,Validated against GRPS 2025-26 CNA,GRPS CNA: percent of Grade 11 scholars meeting SAT composite benchmark. Small-n suppressed categories are omitted.
2.2,2025,Male,R 45.1 / M 45.1,Validated against GRPS 2025-26 CNA,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,Female,R 44.0 / M 42.3,Validated against GRPS 2025-26 CNA,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
2.2,2025,African American,R 42.1 / M 40.3,Validated against GRPS 2025-26 CNA,GRPS CNA 2025-26: K-8 mean Conditional Growth Percentile by subgroup; Reading / Math shown separately.
