DashboardSchoolKey,School,OfficialSchoolCode,FormerName,Status,Note
GRPS-001,Aberdeen Academy,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-002,Blandford School,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-003,Brookside,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-004,Buchanan,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-005,Burton Elementary,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-006,Burton Middle,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-007,CA Frost Environmental Elementary,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-008,CA Frost Environmental Middle/High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-009,Campus Elementary,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-010,Center for Economicology,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-011,Cesar E. Chavez,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-012,City Middle/High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-013,Coit Creative Arts,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-014,Congress,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-015,Dickinson,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-016,Gerald R. Ford Academic Center,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-017,Grand Rapids Learning Center,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-018,Grand Rapids Montessori Elementary/Middle,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-019,Grand Rapids Montessori Middle/High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-020,Harrison Park,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-021,Innovation Central High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-022,Innovation Central Middle School,,Riverside,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-023,John Ball Park Zoo,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-024,Ken-o-Sha Park,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-025,Kent Hills,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-026,Martin Luther King Jr.,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-027,Mulick Park,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-028,North Park Montessori,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-029,Ottawa Hills High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-030,Ottawa Hills Middle School,,Alger Middle,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-031,Palmer,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-032,Public Museum High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-033,Public Museum Middle,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-034,Ridgemoor Park Montessori,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-035,Shawmut Hills,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-036,Sherwood Global Studies,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-037,Sibley,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-038,Southeast Career Pathways,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-039,Southwest Community Campus Elementary,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-040,Southwest Community Campus Middle/High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-041,Union High,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-042,University Preparatory Academy,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
GRPS-043,Westwood,,,Active,Official school code field reserved; current source files available to this build did not include an authoritative code.
