School,GradeSpan,Enrollment,FRL,EL,SE
Public Museum Middle,6-8,175,65,14,7
Public Museum High,9-12,267,49,9,7
University Preparatory Academy,6-12,494,75,24,8
Innovation Central High,9-12,386,83,34,14
Aberdeen Academy,PK-8,241,69,11,29
Ottawa Hills Middle School,6-8,314,89,15,21
Campus Elementary,PK-5,210,92,17,18
Ken-o-Sha Park,PK-5,118,94,39,14
Mulick Park,PK-5,264,81,9,18
Ottawa Hills High,9-12,399,84,17,18
Kent Hills,PK-5,370,88,11,21
Shawmut Hills,PK-5,267,73,13,16
Blandford School,6,60,23,2,3
CA Frost Environmental Elementary,K-5,476,39,3,10
CA Frost Environmental Middle/High,6-12,309,63,7,13
Center for Economicology,6,60,40,8,5
City Middle/High,7-12,955,30,3,1
Coit Creative Arts,PK-5,246,72,4,22
Gerald R. Ford Academic Center,PK-8,213,86,30,12
Grand Rapids Montessori Elementary/Middle,PK-6,297,42,4,13
Grand Rapids Montessori Middle/High,7-12,184,55,4,16
John Ball Park Zoo,6,58,43,0,3
North Park Montessori,K-8,379,27,1,15
Ridgemoor Park Montessori,PK-6,131,41,1,14
Grand Rapids Learning Center,9-12,39,64,18,10
Southeast Career Pathways,9-12,106,82,36,9
Brookside,PK-5,254,75,23,9
Buchanan,PK-5,379,84,72,17
Burton Elementary,PK-5,365,82,72,18
Burton Middle,6-8,488,78,72,11
Dickinson,PK-8,224,84,42,29
Cesar E. Chavez,PK-5,437,85,63,15
Congress,PK-5,237,63,19,13
Harrison Park,PK-8,708,86,28,19
Martin Luther King Jr.,PK-8,299,92,8,15
Innovation Central Middle School,6-8,227,91,14,27
Sibley,PK-5,308,84,30,27
Sherwood Global Studies,PK-6,121,77,15,13
Southwest Community Campus Elementary,PK-6,661,68,53,13
Union High,9-12,1088,74,47,14
Westwood,6-8,176,87,26,23
Palmer,PK-5,187,79,26,26
Southwest Community Campus Middle/High,7-12,378,68,65,7
