Year,Grade,Subgroup,Value,Source,Note
2025,3,Male,24%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,Male,20%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,Male,16%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,Male,18%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,Male,19%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,Female,16%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,Female,13%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,Female,9%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,Female,15%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,Female,18%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,African American,6%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,African American,7%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,African American,4%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,African American,5%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,African American,4%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,Hispanic,18%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,Hispanic,11%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,Hispanic,9%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,Hispanic,10%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,Hispanic,11%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,Two or More,18%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,Two or More,16%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,Two or More,6%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,Two or More,15%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,Two or More,13%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,White,42%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,White,40%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,White,33%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,White,41%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,White,47%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,FRL Eligible,13%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,FRL Eligible,10%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,FRL Eligible,7%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,FRL Eligible,8%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,FRL Eligible,10%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,English Learner,14%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,English Learner,8%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,English Learner,5%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,English Learner,3%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,English Learner,3%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,3,Special Education,2%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,4,Special Education,5%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,5,Special Education,2%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,6,Special Education,4%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
2025,7,Special Education,2%,GRPS 2025-26 CNA,Grade-specific Math proficiency context; not aggregated into the adopted grades 3-7 ENDS KPI.
