School,GradeSpan,Status,EvidencePoints
Public Museum Middle,6-8,School profile only,0
Public Museum High,9-12,Evidence extracted,5
University Preparatory Academy,6-12,School profile only,0
Innovation Central High,9-12,Evidence extracted,3
Aberdeen Academy,PK-8,Evidence extracted,1
Ottawa Hills Middle School,6-8,School profile only,0
Campus Elementary,PK-5,School profile only,0
Ken-o-Sha Park,PK-5,School profile only,0
Mulick Park,PK-5,School profile only,0
Ottawa Hills High,9-12,School profile only,0
Kent Hills,PK-5,School profile only,0
Shawmut Hills,PK-5,School profile only,0
Blandford School,6,School profile only,0
CA Frost Environmental Elementary,K-5,School profile only,0
CA Frost Environmental Middle/High,6-12,School profile only,0
Center for Economicology,6,School profile only,0
City Middle/High,7-12,School profile only,0
Coit Creative Arts,PK-5,School profile only,0
Gerald R. Ford Academic Center,PK-8,School profile only,0
Grand Rapids Montessori Elementary/Middle,PK-6,School profile only,0
Grand Rapids Montessori Middle/High,7-12,Evidence extracted,4
John Ball Park Zoo,6,School profile only,0
North Park Montessori,K-8,School profile only,0
Ridgemoor Park Montessori,PK-6,School profile only,0
Grand Rapids Learning Center,9-12,School profile only,0
Southeast Career Pathways,9-12,School profile only,0
Brookside,PK-5,School profile only,0
Buchanan,PK-5,School profile only,0
Burton Elementary,PK-5,School profile only,0
Burton Middle,6-8,Workbook located,0
Dickinson,PK-8,School profile only,0
Cesar E. Chavez,PK-5,School profile only,0
Congress,PK-5,School profile only,0
Harrison Park,PK-8,School profile only,0
Martin Luther King Jr.,PK-8,School profile only,0
Innovation Central Middle School,6-8,Evidence extracted,6
Sibley,PK-5,School profile only,0
Sherwood Global Studies,PK-6,School profile only,0
Southwest Community Campus Elementary,PK-6,Workbook located,0
Union High,9-12,Workbook located,0
Westwood,6-8,Workbook located,0
Palmer,PK-5,School profile only,0
Southwest Community Campus Middle/High,7-12,Evidence extracted,3
