School,GradeSpan,MeasureID,Measure,Domain,Applicability,Reason
Aberdeen Academy,PK-8,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Aberdeen Academy,PK-8,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Aberdeen Academy,PK-8,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Aberdeen Academy,PK-8,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,2.4,Grade 3 Reading,Academic Achievement,Not applicable,M-STEP grades 3–7
Aberdeen Academy,PK-8,2.5,Grade 8 Math,Academic Achievement,Not applicable,M-STEP grades 3–7
Aberdeen Academy,PK-8,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Aberdeen Academy,PK-8,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Aberdeen Academy,PK-8,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Aberdeen Academy,PK-8,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Aberdeen Academy,PK-8,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Aberdeen Academy,PK-8,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Blandford School,6,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Blandford School,6,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Blandford School,6,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,1.3b,SAT Math Mean,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,1.4a,AP Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,1.4b,AP Exam Completion,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,1.4c,AP Exam Passing,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,1.10,Postsecondary Enrollment,Graduation & Advancement,Applicable,District ENDS measure
Blandford School,6,2.2,NWEA MAP Growth,Academic Achievement,Applicable,K–8 growth/achievement
Blandford School,6,2.3a,M-STEP ELA,Academic Achievement,Applicable,District ENDS measure
Blandford School,6,2.3b,M-STEP Math,Academic Achievement,Applicable,District ENDS measure
Blandford School,6,2.4,Grade 3 Reading,Academic Achievement,Applicable,M-STEP grades 3–7
Blandford School,6,2.5,Grade 8 Math,Academic Achievement,Applicable,M-STEP grades 3–7
Blandford School,6,2.6,SAT Benchmark,Academic Achievement,Not applicable,Grade 11 SAT
Blandford School,6,2.7,WIDA Growth,Academic Achievement,Applicable,District ENDS measure
Blandford School,6,3.1,Chronic Absence,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Blandford School,6,3.2,Suspension,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Blandford School,6,3.3a,Belonging — MI Student Voice,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Blandford School,6,3.3b,Belonging — Panorama,Personal Responsibility & Belonging,Applicable,Attendance/engagement applies to all schools
Brookside,PK-5,1.2a,Graduation Rate,Graduation & Advancement,Not applicable,High-school graduation outcome
Brookside,PK-5,1.2b,On-Track Credits,Graduation & Advancement,Not applicable,High-school postsecondary readiness
Brookside,PK-5,1.3a,SAT EBRW Mean,Graduation & Advancement,Applicable,District ENDS measure
